,User_Name,Tags,Location,Datetime,Like_Count
94,johnseokkk,"['#통닭', '#닭', '#kentucky', '#fried', '#friedchicken', '#백양닭집', '#food', '#foodstagram', '#instadaily', '#instafood', '#instagood', '#instagram', '#daily', '#인스타그램', '#맛스타그램', '#먹스타그램', '#맛스타', '#먹스타', '#맛집', '#먹방', '#야식', '#여행', '#데일리', '#일상', '#대구맛집', '#제주', '#제주맛집추천']",백양닭집,2019년 12월 13일,46
95,isomin_you,"['#제주에인감귤밭', '#제주', '#제주도', '#제주도여행', '#제주도카페', '#제주도귤', '#제주도귤체험', '#제주도귤밭', '#제주도귤농장', '#제주에인감귤밭']",제주에인감귤밭,2019년 12월 27일,7
96,jeju.nsanity_work,"['#제주', '#제주도', '#제주바버샵', '#제주도바버샵', '#제주앤세니티바버샵', '#앤세니티바버샵', '#앤세니티바버샵제주점', '#신제주바버샵', '#제주제원바버샵', '#제원바버샵', '#제주노형바버샵', '#노형바버샵', '#제주이발소', '#바버샵', '#클래식', '#제주핫플', '#제주핫플레이스', '#제주도핫플레이스', '#제주도핫플', '#올드스쿨', '#jejubarbershop', '#barbershop', '#jeju', '#jejuisland', '#barber', '#classic', '#oldschool', '#pomade', '#포마드']",앤세니티바버샵 제주점,2019년 12월 27일,6
97,coco_bori7,"['#데일리', '#셀카', '#셀스타그램', '#팔로우', '#스타일', '#전신샷', '#데일리룩', '#쇼핑', '#신상', '#여자옷', '#옷스타그램', '#동영상', '#패션', '#일상', '#일상스타그램', '#daily', '#ootd', '#이지룩', '#코디샷', '#겨울코디', '#출근룩', '#페이크밍크', '#페이크퍼코트', '#제주', '#코코보리', '#제주옷가게', '#베라체옷가게', '#cocobori']",Jeju-do,2019년 12월 27일,118
98,go.with.u,"['#2019', '#연말', '#2020', '#제주', '#제주도', '#오르다']",제주도 어느 해변가,2019년 12월 27일,40
99,__seo.jin_,"['#제주한달살기', '#제주하우스판포', '#제주', '#서귀포', '#서귀포빈티지', '#서귀포카페', '#드립이맛있다', '#뜻밖의발견']",뜻밖의 발견,2019년 12월 27일,4
100,si_eun2_,"['#selfie', '#selca', '#follow', '#followme', '#f4f', '#likeforlikes', '#ootd', '#instagood', '#instagram', '#daily', '#셀카그램', '#셀피', '#셀스타그램', '#얼스타그램', '#맞팔', '#선팔하면맞팔', '#일상', '#소통', '#좋아요반사', '#데일리룩', '#데일리', '#제주', '#제주도', '#크리스마스']",제주 협재 해수욕장,2019년 12월 26일,84
101,hawkeye_sehwa,['#명리동식당구좌점'],송당리,2019년 12월 27일,110
102,_jeuuy,[],제주도 하도리,2019년 12월 27일,26
103,na.ss.jj,"['#그리울땐제주', '#제주', '#최애카페']",그리울땐 제주,2019년 12월 27일,28
104,h.jung_hoho,"['#휴애리', '#제주도여행', '#제주', '#동백꽃', '#먹스타', '#셀카', '#셀피', '#럽스타', '#selca', '#selfie', '#daily', '#데일리', '#데일리룩', '#일상', '#하루', '#직장인', '#워킹맘', '#소통', '#인친', '#소확행', '#좋아요', '#인스타그램', '#가족여행', '#먹방', '#여행스타그램', '#홈스타그램', '#럽스타그램', '#여행', '#travel']",제주 휴애리,2019년 12월 27일,37
105,pyeongdae_stay,"['#평대스테이', '#제주', '#제주도', '#제주여행', '#제주도여행', '#제주독채펜션', '#제주펜션', '#제주도펜션', '#소통', '#예약문의', '#제주게스트하우스', '#제주바다', '#크리스마스', '#인연', '#추억', '#감성여행', '#여행', '#제주가볼만한곳', '#럽스타그램']",평대스테이,2019년 12월 27일,7
106,dkfmadl5,"['#히트텍오픈', '#난닝구', '#메리야스', '#insta', '#daily', '#selfie', '#selca', '#cafe', '#fitness', '#health', '#model', '#bikini', '#ootd', '#flf', '#like', '#데일리', '#일상', '#셀피', '#셀카', '#제주', '#여행', '#한라산', '#성판악', '#백록담', '#운동', '#럽스타그램', '#운동하는커플']",한라산국립공원 성판악코스,2019년 12월 27일,42
107,hyojin.v_v,"['#제주', '#카페', '#제주카페', '#서귀포카페', '#제주브런치', '#서귀포브런치', '#음식사진', '#food', '#brunch', '#brunchcafe', '#dailypic', '#shotoniphone', '#제주여행', '#텐저린', '#카페텐저린', '#tangerine', '#foodpic']",카페텐저린,2019년 12월 27일,25
108,__y.s0,"['#26살', '#동물체험', '#잘놀아']",Jeju,2019년 12월 25일,57
109,mydongtrip__,"['#빈땅콩이지만', '#꼬상권지켜주려', '#하트로애썼건만', '#오히려꼬치부각']",Jeju-do,2019년 7월 18일,22
110,vert_lierre,"['#제주', '#위미리동백군락지']",위미리 동백군락지,2019년 12월 27일,15
111,nam_g_____k,"['#제주', '#제주도민', '#일상', '#소통', '#좋아요', '#직장인', '#연말', '#12월', '#퇴근하고싶다', '#팔로우', '#선팔맞팔']",Jeju-do,2019년 12월 27일,23
112,am.ton_zihye,[],하이엔드 제주,2019년 12월 27일,32
113,jujuzzang_,[],순천드라마촬영장,2019년 12월 27일,196
114,seo_jeonghuii,"['#데일리', '#일상', '#데이트', '#커플', '#연말', '#파티', '#여행', '#제주', '#제주도', '#제주아일랜드', '#제주동문시장', '#제주동문수산시장', '#광어회', '#문어숙회', '#제주흑돼지족발', '#한라산', '#제주흑돼지오겹살', '#협재', '#금능', '#크리스마스', '#연말파티', '#먹방']",Jeju,2019년 12월 27일,20
115,_janhyang,"['#아트세닉', '#에서만나요', '#제주', '#원도심', '#삼도2동']",잔향,2019년 12월 27일,14
116,sooyn.__.2,"['#제주동백수목원', '#위미동백나무군락지', '#제주', '#메리제주마스']",위미리 동백군락지,2019년 12월 27일,25
117,g_g.o.n_,"['#제주도', '#제주도여행', '#제주', '#바다', '#바다여행', '#여행', '#여행스타그램', '#힐링', '#힐링여행', '#광주', '#충장로', '#구시청', '#상무지구', '#갱', '#gang', '#갱스터']",제주도 곽지해수욕장,2019년 12월 27일,21
118,in.is_,"['#일상', '#데일리', '#팔로우', '#맞팔', '#좋반', '#좋아요반사', '#인친', '#카페', '#셀', '#셀카', '#셀피', '#미러샷', '#셀스타', '#럽스타', '#서울', '#대구', '#대전', '#인천', '#부산', '#제주', '#여행', '#핫플', '#맛집', '#목포', '#광주', '#럽', '#신사', '#홍대']",롯데월드 (lotteworld),2019년 12월 27일,54
119,hwangxz__,[],Jeju,2019년 12월 27일,50
120,miinas,"['#우리단골매장', '#스타벅스함덕점', '#바람뚫고산책', '#제주일정첫째날', '#제주', '#친정나들이중']",스타벅스 제주함덕점,2019년 12월 27일,8
